record_type,site_order,key,value,unit,source_id,note
scenario,,plan_id,network-overall-3,,,
scenario,,objective,maximize sum of network-distance reduction across reachable buildings,,,
scenario,,exactness,deterministic forward-greedy approximation; not a global N-site optimum,,,
metric,,affected_graph_node_count,743,,,
metric,,improved_building_count,2911,,,
metric,,newly_network_connected_building_count,0,,,
metric,,total_building_distance_reduction_m,1103540.923,,,
metric,,mean_reduction_all_reachable_buildings_m,38.798,,,
metric,,mean_reduction_improved_buildings_m,379.093,,,
metric,,affected_estimated_elderly_population,1572.547518,,,
metric,,elderly_weighted_distance_reduction_person_m,587958.247,,,
metric,,elderly_weighted_mean_reduction_m,29.806,,,
metric,,worst_decile_mean_reduction_m,245.967,,,
metric,,robust_top20_elderly_weighted_reduction_person_m,0.0,,,
metric,,robust_top20_improved_mesh_count,0,,,
metric,,improved_mesh_count,16,,,
site,1,candidate_id,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d-0,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,node_id,exp::tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d:0,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,road_gml_id,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,road_surface_id,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d:0,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,road_name,伊佐津七日市線,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,longitude,135.332805923,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,latitude,35.435368484,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,component_id,component_0001,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,landuse_context,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,planning_context,市街化区域 | 第1種住居地域 | 道路 | 都市計画区域,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,hazard_context,flood: 0.5m以上1.0m未満 | flood: 1.0m以上2.0m未満,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,hazard_review_status,additional_confirmation_required,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
site,1,siting_feasibility,not_determined,,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d,
review_flag,1,hazard_attention,True,,,
review_flag,1,planning_attention,True,,,
review_flag,1,landuse_attention,True,,,
review_flag,1,network_component_attention,False,,,
review_flag,1,long_connector_attention,False,,,
review_flag,1,terrain_attention,False,,,
review_flag,1,interpretation,review prompts only; no flag is an automatic policy decision,,,
site,2,candidate_id,tran_aa88195d-0720-456e-8ff1-8589a3f60d05-0,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,node_id,exp::tran_aa88195d-0720-456e-8ff1-8589a3f60d05:0,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,road_gml_id,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,road_surface_id,tran_aa88195d-0720-456e-8ff1-8589a3f60d05:0,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,road_name,愛宕通線,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,longitude,135.408737906,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,latitude,35.483493063,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,component_id,component_0001,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,landuse_context,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,planning_context,市街化区域 | 第1種中高層住居専用地域 | 都市計画区域,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,hazard_context,landslide: 土砂災害警戒区域（指定済）,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,hazard_review_status,additional_confirmation_required,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
site,2,siting_feasibility,not_determined,,tran_aa88195d-0720-456e-8ff1-8589a3f60d05,
review_flag,2,hazard_attention,True,,,
review_flag,2,planning_attention,True,,,
review_flag,2,landuse_attention,True,,,
review_flag,2,network_component_attention,False,,,
review_flag,2,long_connector_attention,False,,,
review_flag,2,terrain_attention,False,,,
review_flag,2,interpretation,review prompts only; no flag is an automatic policy decision,,,
site,3,candidate_id,tran_d1ce31ad-058f-45b0-abed-11324ea7961c-0,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,node_id,exp::tran_d1ce31ad-058f-45b0-abed-11324ea7961c:0,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,road_gml_id,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,road_surface_id,tran_d1ce31ad-058f-45b0-abed-11324ea7961c:0,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,road_name,大宮北通線,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,longitude,135.40421708,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,latitude,35.460221686,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,component_id,component_0001,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,landuse_context,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,planning_context,市街化区域 | 準住居地域 | 準防火地域 | 都市計画区域,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,hazard_context,landslide: 土砂災害警戒区域（指定済）,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,hazard_review_status,additional_confirmation_required,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
site,3,siting_feasibility,not_determined,,tran_d1ce31ad-058f-45b0-abed-11324ea7961c,
review_flag,3,hazard_attention,True,,,
review_flag,3,planning_attention,True,,,
review_flag,3,landuse_attention,True,,,
review_flag,3,network_component_attention,False,,,
review_flag,3,long_connector_attention,False,,,
review_flag,3,terrain_attention,False,,,
review_flag,3,interpretation,review prompts only; no flag is an automatic policy decision,,,
source_dataset,,population,2020年国勢調査 500mメッシュ 5歳階級別人口,2020,https://www.e-stat.go.jp/gis/statmap-search/data?statsId=T001192&code=26&downloadType=2,e-Stat
source_dataset,,boundary,舞鶴市 行政界,2025,https://www.geospatial.jp/ckan/dataset/plateau-26202-maizuru-shi-2025,Project PLATEAU
source_dataset,,stations,舞鶴市 鉄道駅,2025,https://www.geospatial.jp/ckan/dataset/plateau-26202-maizuru-shi-2025,Project PLATEAU
source_dataset,,bus_stops,バス停留所 P11,2022,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P11-2022.html,国土数値情報
source_dataset,,medical,医療機関 P04,2020,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P04-2020.html,国土数値情報
source_dataset,,plateau,3D都市モデル（Project PLATEAU）舞鶴市（2025年度）,2025,https://www.geospatial.jp/ckan/dataset/plateau-26202-maizuru-shi-2025,Project PLATEAU
field_check,1,site_access,unknown,,,
field_check,1,road_safety,unknown,,,
field_check,1,land_ownership_unknown,unknown,,,
field_check,1,existing_service,unknown,,,
field_check,1,facility_condition,unknown,,,
field_check,1,hazard_confirmation,unknown,,,
field_check,1,operator_consultation,unknown,,,
field_check,1,notes,,,,
field_check,2,site_access,unknown,,,
field_check,2,road_safety,unknown,,,
field_check,2,land_ownership_unknown,unknown,,,
field_check,2,existing_service,unknown,,,
field_check,2,facility_condition,unknown,,,
field_check,2,hazard_confirmation,unknown,,,
field_check,2,operator_consultation,unknown,,,
field_check,2,notes,,,,
field_check,3,site_access,unknown,,,
field_check,3,road_safety,unknown,,,
field_check,3,land_ownership_unknown,unknown,,,
field_check,3,existing_service,unknown,,,
field_check,3,facility_condition,unknown,,,
field_check,3,hazard_confirmation,unknown,,,
field_check,3,operator_consultation,unknown,,,
field_check,3,notes,,,,
