rank,mesh_code,centroid_lat,centroid_lon,population,elderly_population,elderly_ratio,nearest_station_distance_m,nearest_bus_stop_distance_m,nearest_public_transport_distance_m,nearest_medical_distance_m,exploratory_score_c,pareto_frontier,suppression_flag,city_area_fraction,centroid_within_city,reported_elderly_population,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_bus_stop_name,nearest_public_transport_type,nearest_public_transport_name,nearest_medical_name,nearest_hospital_name,nearest_medical_access_class,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible
1,533913073,35.42291666666668,139.465625,3590,921.0,0.25654596100278554,1183.2895738087248,592.5779838626122,592.5779838626122,734.0378484741622,0.8691721994407592,True,False,0.7686623459423386,True,921.0,0,,,unaffected,False,False,True,長後,県営サンハイツ渋谷前,bus_stop,県営サンハイツ渋谷前,山口クリニック,一般財団法人同友会　藤沢湘南台病院,likely_public,810.4396525616417,山口クリニック,734.0378484741622,0.9505703422053232,0.5285171102661597,0.9657794676806084,0.9467680608365019,0.9180413190880308,0.8999696395784239,1,1,1,True,True,True
2,533903351,35.360416666666666,139.440625,2639,1026.0,0.3887836301629405,2658.280572139063,347.69019036632005,347.69019036632005,430.656584165204,0.5578217059918323,True,False,1.0,True,1026.0,0,,,unaffected,False,False,True,辻堂,南センター前,bus_stop,南センター前,産婦人科吉田クリニック,村田会湘南大庭病院,likely_public,1103.271276427868,産婦人科吉田クリニック,430.656584165204,0.973384030418251,0.9049429657794676,0.8326996197718631,0.688212927756654,0.8105365120212812,0.6698954734057164,4,3,2,True,True,True
3,533913064,35.42291666666668,139.45937499999997,1579,511.0,0.3236225459151362,1300.8705523228966,585.3751212538793,585.3751212538793,742.6973965808464,0.5563053890105608,True,False,0.7780909883172279,True,511.0,0,,,unaffected,False,False,True,長後,上谷台,bus_stop,上谷台,特別養護老人ホーム藤沢富士白苑医務室,一般財団法人同友会　藤沢湘南台病院,uncertain_access,1212.3481963103072,特別養護老人ホーム藤沢富士白苑医務室,742.6973965808464,0.6083650190114068,0.8022813688212928,0.9619771863117871,0.9505703422053232,0.58523326923911,0.578293744307421,21,11,3,True,True,True
4,533903961,35.41041666666668,139.453125,1882,646.0,0.3432518597236982,1127.3393983606843,241.70573670527793,241.70573670527793,857.5825338580432,0.49352423696696585,True,False,0.585447081934014,True,646.0,0,,,unaffected,False,False,True,長後,坂下,bus_stop,坂下,赤川内科医院,一般財団法人同友会　藤沢湘南台病院,likely_public,1717.3746324997153,赤川内科医院,857.5825338580432,0.7984790874524715,0.8365019011406845,0.6349809885931559,0.973384030418251,0.5070190403215313,0.7772267923491738,27,2,4,True,True,True
5,523973994,35.33125000000001,139.496875,3349,688.0,0.20543445804717828,1034.8608316093164,276.9792351838688,276.9792351838688,476.66037831505605,0.45514246337853165,False,False,1.0000000000000002,True,688.0,0,,,unaffected,False,False,True,石上,御霊神社前,bus_stop,御霊神社前,アズビル株式会社　藤沢テクノセンター健康管理室,藤沢病院,uncertain_access,793.6727528131873,アズビル株式会社　藤沢テクノセンター健康管理室,476.66037831505605,0.8365019011406845,0.21292775665399238,0.7338403041825095,0.7414448669201521,0.6138588095823273,0.620220040769709,19,6,5,True,True,True
6,533913074,35.42291666666668,139.471875,1295,353.0,0.2725868725868726,1323.7814500464733,744.0889751698176,744.0889751698176,688.3581742062479,0.4202898208152436,True,False,0.5785681505597459,True,353.0,0,,,unaffected,False,False,True,長後,藤沢湘南台病院前,bus_stop,藤沢湘南台病院前,山口クリニック,一般財団法人同友会　藤沢湘南台病院,likely_public,698.6517991783038,山口クリニック,688.3581742062479,0.467680608365019,0.6121673003802282,0.9847908745247148,0.9125475285171103,0.4605675953100377,0.4267807832988767,34,27,6,True,True,True
7,533903873,35.406250000000014,139.465625,3131,852.0,0.2721175343340786,666.5104615172082,380.2182492670703,380.2182492670703,326.47468623161564,0.41931617644269853,False,False,1.0,True,852.0,0,,,unaffected,False,False,True,長後,渋谷ノ里,bus_stop,渋谷ノ里,石原医院,一般財団法人同友会　藤沢湘南台病院,likely_public,1241.2897305069284,石原医院,326.47468623161564,0.935361216730038,0.6007604562737643,0.8669201520912547,0.5171102661596958,0.8108834882678656,0.48368488773872687,3,16,7,True,True,True
8,533903682,35.38541666666667,139.484375,1405,318.0,0.22633451957295372,1253.31044549962,505.6510412553402,505.6510412553402,949.2278085358377,0.4031428615876461,True,False,0.6220202118091562,True,318.0,0,,,unaffected,False,False,True,六会日大前,亀井野三丁目,bus_stop,亀井野三丁目,杉田外科,湘南第一病院,likely_public,1776.3291553830466,杉田外科,949.2278085358377,0.44106463878326996,0.311787072243346,0.935361216730038,0.9771863117870723,0.4125547571889141,0.4310023276323208,46,26,8,True,True,True
9,523973972,35.327083333333334,139.471875,2759,634.0,0.22979340340703153,537.9150762466301,338.66423235749966,338.66423235749966,387.8718764963098,0.38743245658248077,False,False,1.0000000000000002,True,634.0,0,,,unaffected,False,False,True,本鵠沼,熊倉通り,bus_stop,熊倉通り,本鵠沼耳鼻咽喉科,医療法人社団正拓会　湘南太平台病院,likely_public,927.5907249117746,本鵠沼耳鼻咽喉科,387.8718764963098,0.7718631178707225,0.33840304182509506,0.8098859315589354,0.6197718631178707,0.6251210802527144,0.4783790426347063,18,17,9,True,True,True
10,533903271,35.35208333333334,139.465625,3146,459.0,0.1458995549904641,1023.5927571836085,270.3600681716386,270.3600681716386,733.0907143776949,0.3803415967954611,False,False,0.9999999999999998,True,459.0,0,,,unaffected,False,False,True,藤沢本町,中郷,bus_stop,中郷,藤沢本町ファミリークリニック,湘南長寿園病院,likely_public,1321.469391812866,藤沢本町ファミリークリニック,733.0907143776949,0.5665399239543726,0.030418250950570342,0.714828897338403,0.9391634980988594,0.4049791091384869,0.5320736167936503,48,14,10,True,True,True
