mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
523973574,35.297916666666666,139.471875,0.03878462236283549,False,2,,,,2,523973583,,suppressed_source,True,False,False,False,片瀬江ノ島,1615.4828010414647,江ノ島,1018.6229357968209,bus_stop,江ノ島,1018.6229357968209,いしい内科医院,1658.5345165019924,藤沢脳神経外科病院,2805.8735414863168,いしい内科医院,1658.5345165019924,,,,,,,,,,,,False,False,False,
523973583,35.297916666666666,139.47812499999998,0.5198687404352326,False,57,,29.0,,1,,523973574,aggregation_destination,False,True,True,False,片瀬江ノ島,1337.7726845352056,かながわ女性センター,484.1169935551673,bus_stop,かながわ女性センター,484.1169935551673,いしい内科医院,1370.901292179454,藤沢脳神経外科病院,2591.6887114865026,いしい内科医院,1370.901292179454,,,,,,,,,,,,True,False,False,
523973584,35.297916666666666,139.484375,0.45844164791299385,True,32,14.0,14.0,0.4375,0,,,unaffected,False,False,False,True,片瀬江ノ島,1271.0674345396333,湘南港桟橋,88.73748931213254,bus_stop,湘南港桟橋,88.73748931213254,鵠生クリニック,1216.8306353789494,藤沢脳神経外科病院,2491.347552379199,鵠生クリニック,1216.8306353789494,0.019011406844106463,0.9619771863117871,0.12927756653992395,1.0,0.002457748413306539,0.019011406844106463,0.002457748413306539,263,248,253,True,True,True,True,252
523973681,35.30208333333333,139.47812499999998,0.2594544026906958,False,86,34.0,34.0,0.3953488372093023,0,,,unaffected,False,False,False,True,片瀬江ノ島,913.5047894116404,江ノ島,317.8256670520808,bus_stop,江ノ島,317.8256670520808,いしい内科医院,952.205796623996,藤沢脳神経外科病院,2152.286126782047,いしい内科医院,952.205796623996,,,,,,,,,,,,True,True,False,
523973682,35.30208333333333,139.484375,0.25682528142171596,False,135,50.0,50.0,0.37037037037037035,0,,,unaffected,False,False,False,True,片瀬江ノ島,812.6973709365744,江ノ島,257.9568874562816,bus_stop,江ノ島,257.9568874562816,鵠生クリニック,778.2881728860181,藤沢脳神経外科病院,2030.3509303587966,鵠生クリニック,778.2881728860181,,,,,,,,,,,,True,True,False,
523973684,35.306250000000006,139.484375,0.549178007951295,True,376,85.0,85.0,0.22606382978723405,0,,,unaffected,False,False,False,True,片瀬江ノ島,364.23004159656364,江ノ島海岸,131.60911246751334,bus_stop,江ノ島海岸,131.60911246751334,いしい内科医院,368.95138276980515,藤沢脳神経外科病院,1570.0822303279817,いしい内科医院,368.95138276980515,0.17490494296577946,0.30798479087452474,0.27756653992395436,0.5893536121673004,0.04854775983460798,0.1030808599227978,0.028611797621156797,218,182,188,False,True,True,True,188
523973693,35.306250000000006,139.49062500000002,0.03694750433061504,False,169,68.0,68.0,0.40236686390532544,0,,,unaffected,False,False,False,True,江ノ島,595.8099591351802,東浜,384.0098306188567,bus_stop,東浜,384.0098306188567,鵠生クリニック,364.0193756362962,藤沢脳神経外科病院,1612.8067138091226,鵠生クリニック,364.0193756362962,,,,,,,,,,,,True,True,False,
523973774,35.31458333333333,139.471875,0.6937619662417838,True,353,113.0,113.0,0.32011331444759206,0,,,unaffected,False,False,False,True,鵠沼海岸,686.9830832814926,公園西部駐車場前,167.48707256837494,bus_stop,公園西部駐車場前,167.48707256837494,のなかこどもクリニック,392.57908603599606,藤沢脳神経外科病院,1448.6401476432916,のなかこどもクリニック,392.57908603599606,0.23574144486692014,0.7984790874524715,0.40304182509505704,0.6311787072243346,0.09501366218970926,0.1487949804102994,0.05997060046955033,179,150,142,False,True,True,True,142
523973781,35.31041666666667,139.47812499999998,0.5945519745491555,True,911,139.0,139.0,0.1525795828759605,0,,,unaffected,False,False,False,True,片瀬江ノ島,454.05801848433424,西浜,124.4094554517296,bus_stop,西浜,124.4094554517296,のなかこどもクリニック,452.6254778735394,藤沢脳神経外科病院,1321.0868701002933,のなかこどもクリニック,452.6254778735394,0.2737642585551331,0.04182509505703422,0.24714828897338403,0.714828897338403,0.06766036808396826,0.19569460307363126,0.04836558631097351,202,117,156,False,True,True,True,156
523973782,35.31041666666667,139.484375,1.0000000000000002,True,2527,633.0,633.0,0.2504946576968738,0,,,unaffected,False,False,False,True,片瀬江ノ島,179.36785087116442,江ノ島駅前,294.1264739565768,station,片瀬江ノ島,179.36785087116442,いしい内科医院,134.56331624158034,藤沢脳神経外科病院,1111.4465523891188,いしい内科医院,134.56331624158034,0.7680608365019012,0.4866920152091255,0.4524714828897338,0.17110266159695817,0.3475256256415446,0.1314172533938614,0.059462559520416375,62,162,144,False,True,True,True,144
