mesh_code,network_transport_weighted_mean_distance_m,network_transport_weighted_median_distance_m,network_transport_weighted_p90_distance_m,network_medical_weighted_mean_distance_m,network_medical_weighted_median_distance_m,network_medical_weighted_p90_distance_m,transport_elderly_weight_coverage,medical_elderly_weight_coverage,network_reachable_buildings_transport,network_reachable_buildings_medical,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label,network_minus_building_euclidean_transport_m,network_minus_building_euclidean_medical_m,network_transport_detour_ratio,network_medical_detour_ratio,network_metric_status
523973584,167.53788560349759,156.44666434600492,185.84813050262522,1397.2011076630113,1389.9567791034121,1414.7375423618375,1.0,1.0,25,25,88.73748931213254,133.7635360888991,131.63375448764268,150.931444782644,45.02604677676655,1216.8306353789494,1095.1547628108758,1090.7036713926243,1118.7975242574037,-121.6758725680736,133.7635360888991,131.63375448764268,150.931444782644,1095.1547628108758,1090.7036713926243,1118.7975242574037,25,32.0,14.0,253.0,湘南港桟橋周辺,33.7743495145985,302.04634485213546,1.252492947645703,1.2758024300391015,available
523973681,210.03700614741308,206.3874483073461,247.5177686270651,1273.3500114773415,1239.9149219948126,1413.4189739205788,1.0,1.0,25,25,317.8256670520808,161.30245038357836,156.2100993102925,178.15512884268094,-156.52321666850244,952.205796623996,961.2578802469304,936.048158679556,1055.3921960897987,9.052083622934331,161.30245038357833,156.2100993102925,178.15512884268094,961.2578802469302,936.048158679556,1055.3921960897987,25,85.99999999999999,33.99999999999999,,江ノ島周辺,48.73455576383472,312.09213123041104,1.302131527747679,1.3246705568231494,available
523973682,196.11733671948826,201.26451287489704,236.2820134743452,1293.093071251746,1288.4746530808422,1373.0258297995954,1.0,1.0,75,75,257.9568874562816,137.8290791385077,142.34701384863885,161.4079994936355,-120.12780831777393,778.2881728860181,989.7518293751511,999.4766874927748,1054.6820001099047,211.4636564891331,137.82907913850772,142.34701384863885,161.4079994936355,989.7518293751516,999.4766874927748,1054.6820001099047,75,135.0,50.00000000000001,,江ノ島周辺,58.28825758098057,303.34124187659495,1.4229024669199548,1.3064821229662187,available
523973684,201.5145532707611,222.17986842479525,222.17986842479525,334.6513608842618,358.8512111014906,358.8512111014906,1.0,1.0,9,9,131.60911246751334,109.01964674212483,122.52243112070674,122.52243112070674,-22.589465725388507,368.9513827698052,144.20834964765763,139.56775960250624,158.75446018918996,-224.74303312214752,109.01964674212483,122.52243112070674,122.52243112070674,144.20834964765766,139.56775960250624,158.75446018918996,9,376.0,85.0,188.0,江ノ島海岸周辺,92.49490652863626,190.44301123660418,1.848424199607102,2.3206101567760196,available
523973774,201.93754653552924,234.29834968924393,326.4612550070214,374.1640611216591,368.62228471516823,452.73015470391664,1.0,1.0,79,79,167.48707256837494,96.81993405790332,95.29901150447924,164.87612901396346,-70.66713851047162,392.57908603599606,274.0861229883172,279.2301698456465,325.018339795719,-118.49296304767888,96.81993405790334,95.29901150447924,164.87612901396346,274.0861229883173,279.2301698456465,325.018339795719,79,352.99999999999994,113.0,142.0,公園西部駐車場前周辺,105.11761247762591,100.07793813334189,2.08570216970774,1.3651331816518404,available
523973781,243.9274623210468,244.6583322984064,300.35205071296593,429.90982284388355,422.4632883212162,569.818277198333,1.0,1.0,163,163,124.4094554517296,136.81177298719768,124.7777701889553,210.36787965163603,12.402317535468086,452.6254778735394,310.56768077894816,299.0316618481058,381.4970106037098,-142.05779709459125,136.81177298719768,124.7777701889553,210.36787965163603,310.5676807789481,299.0316618481058,381.4970106037098,163,911.0,139.0,156.0,西浜周辺,107.1156893338491,119.34214206493539,1.7829420450816946,1.3842709639509436,available
523973782,251.28936817884454,237.4571313401339,395.0654637131206,264.5087639471168,262.8991223161719,403.7267981248651,1.0,1.0,508,508,179.36785087116442,157.20597722658502,145.24820374582544,284.6325528181864,-22.1618736445794,134.56331624158034,153.9276591010637,158.44218851837468,253.86605039249383,19.36434285948337,157.20597722658502,145.24820374582544,284.6325528181864,153.92765910106368,158.44218851837468,253.86605039249383,508,2527.0,633.0,144.0,片瀬江ノ島周辺,94.08339095225952,110.58110484605308,1.5984720976394855,1.7183965863695052,available
523973783,351.7499186755142,360.50933769242954,523.4989897582067,319.92702716320235,322.3704276945583,463.0568790178971,1.0,1.0,835,835,255.60192905078944,231.95968666923255,231.90213640172092,333.8585115423075,-23.64224238155685,184.37338967875212,195.39338178442367,198.1842969882268,285.37510551742247,11.01999210567152,231.95968666923255,231.90213640172092,333.8585115423075,195.39338178442364,198.1842969882268,285.37510551742247,835,2501.0,549.0,98.0,小田急ショップ前周辺,119.79023200628166,124.53364537877869,1.51642694351928,1.6373483290041824,available
523973784,216.88151419608658,195.1974827265555,388.0911143882878,238.26189867479627,228.23628773824902,351.1962884523863,1.0,1.0,760,760,117.41466836474684,129.71691983454204,125.73157811168632,226.48191002415524,12.302251469795197,54.75773211447618,123.85339589502036,121.47589235440049,194.88329597620427,69.09566378054417,129.716919834542,125.73157811168632,226.48191002415524,123.85339589502038,121.47589235440049,194.88329597620427,760,2327.0,645.0,234.0,湘南海岸公園周辺,87.16459436154454,114.40850277977592,1.671960099520754,1.9237413472033495,available
523973791,176.2261799802126,161.87441181531005,260.8818460495438,267.088173224896,281.7084916879809,311.58398156292475,0.9903417734241855,0.9903417734241855,76,76,127.37339086264792,112.4337600614134,118.4131223093954,152.19975948547705,-14.9396308012345,94.19648162650512,111.25152548512249,119.4567167473178,154.76651487191322,17.05504385861734,112.43376006141338,118.4131223093954,152.19975948547705,111.25152548512249,119.4567167473178,154.76651487191322,79,2441.0,825.0000000000001,,竜口寺周辺,63.79241991879921,155.83664773977353,1.5673778043530218,2.400759648555231,partial
