citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
1,533913073,県営サンハイツ渋谷前周辺,718,921.0,592.5779838626122,593.1334862653118,729.4186917917573,734.0378484741622,740.1351231517112,893.0981450257684
10,533903271,中郷周辺,611,459.0,270.3600681716386,216.7763733601759,366.2190044853333,733.0907143776949,609.0191391510701,689.1817653124218
100,533903962,住宅前周辺,477,429.0,167.88159678382883,118.58377283817082,231.64759121033404,291.803480598792,322.96517216748265,520.405632010954
101,523973983,高瀬通り周辺,1007,685.0,196.03633010798265,152.47215749128512,224.9592197781391,176.6292063084683,233.51066592359064,394.0384372233772
102,533903354,ライフタウン中央周辺,313,613.0,138.91027360530202,172.98027245926414,291.88668351703444,289.7711721460254,283.82990467114024,444.200035697526
103,523973981,上岡周辺,1004,677.0,154.76803147049003,174.69048268937328,312.5307421430542,228.76730425962015,241.19253752267824,344.7668378807037
104,533903483,亀井野公園周辺,128,64.0,583.5026893652231,536.5403563476975,698.4364029525838,588.5335896679918,587.3751085874195,653.6374751667249
105,533903681,雲昌寺周辺,712,558.0,112.5254833956129,144.77239818291707,238.30305862442242,443.35680210521,405.5707629963556,643.1398166255071
106,533903724,宮原周辺,346,313.0,182.17528114920617,221.2382232154894,348.10145246237727,297.633041395837,245.38324628649892,325.27351792399924
107,533903833,用田周辺,338,213.0,259.2986497158803,162.82063431709412,293.37656200543364,245.03770237538117,223.3253397582017,341.16931194389207
108,533903863,下土棚周辺,163,91.00000000000001,202.84049769628845,247.700062789441,394.67364129930064,727.0225196762667,734.1966141834928,808.803688650678
109,533903754,菖蒲沢団地周辺,152,177.0,247.55267063822842,168.25551863117212,243.66695795406216,303.4850845910409,240.65349769505318,395.6323558917168
11,533903062,新町三丁目周辺,1015,696.0,316.1490705585988,240.83599499166647,342.7714821673522,349.1072057971764,295.2245170389165,432.943526694853
110,533903944,長坂上周辺,2,65.0,285.1368252057054,259.441944205167,259.141440322821,1117.3987977768977,1036.3845938353875,1036.0278673994862
111,533903572,西谷周辺,92,108.00000000000001,573.6666339240022,623.2117805004474,765.3439322086481,282.4640470608586,190.2690188824959,263.625260491697
112,523973991,柳小路周辺,596,538.0,306.5293250111335,261.91550850976364,421.9254413247054,139.08504142319,168.39680942539087,286.58262587027633
113,533903072,藤沢警察署前周辺,644,362.0,195.79532362855898,151.54614533160174,221.74232909026642,243.46450220633827,215.17513600526812,343.60907501961424
114,533903294,柄沢大上周辺,681,499.0,211.7145674022075,200.58019430357933,275.11100924874586,192.61887839641878,230.90481082984658,387.1539746534181
115,533903932,松葉周辺,103,131.0,560.3400650712437,496.9923636154492,609.1446054401825,239.0031326249331,182.39529576174482,286.4282842840331
116,533904102,高谷小学校入口周辺,455,278.0,279.14430469482716,200.59447262697196,302.31782751329536,205.91991440269751,360.7953079147772,468.49410265952673
117,533903621,獺郷周辺,92,74.00000000000001,422.2923357726906,411.39544512533354,594.8146957106298,404.4534411177622,436.5593095748692,607.5662043240161
118,533903172,上村周辺,540,427.0,151.68788315158682,138.1040859664185,225.72440204110774,300.2877372035671,349.5701393913484,490.7707023323018
119,533903852,菖蒲沢団地周辺,76,119.00000000000001,254.69862720389048,122.52356688463064,178.15003911945053,325.48867579585175,226.5571132716845,320.06548823429625
12,533913071,藤沢湘南台病院前周辺,678,491.0,613.6752101052593,528.2072446755702,660.6560372262662,389.30687959923887,357.92287364690446,564.5502835556952
120,523973984,石上周辺,993,829.0,174.01213963056128,155.72328669852138,264.0132140931086,164.812685878072,167.4299165166829,309.12106974505633
121,533903742,藤沢ジャンボゴルフ前周辺,124,66.00000000000001,442.04169459020557,364.63994493591906,436.579926184155,420.7292218645511,440.96506626718366,620.1770676431884
122,533904002,村岡宮前周辺,500,351.0,141.65447385602863,169.7614606370358,295.99876136515536,343.75591760331423,241.99402548762458,343.56424206808447
123,533903482,新田周辺,397,240.99999999999997,136.20108830585139,152.08715847463827,312.438825438222,451.7758479680025,434.16543033409164,565.3001008259151
124,533903832,御所見中学校前周辺,328,243.00000000000003,128.83412552164148,156.6726679931008,227.45112265895727,502.38945168727173,385.1204325235592,586.0710275045675
125,533903843,宮下周辺,109,55.000000000000014,411.23478192322864,259.5240664109362,444.84396792627996,493.6650750381428,487.7072725017272,611.1882476486861
126,533913041,天沼周辺,5,43.99999999999999,357.3993160649242,540.4880789772762,556.8763037520768,1127.9535676319974,1009.0810014689326,1183.6593163078026
127,533903563,和泉橋周辺,553,406.0,110.07226802342532,154.84502447598015,233.84008090869784,440.4684045503336,401.6935943064962,479.5035056336184
128,533903853,葛原周辺,294,195.0,123.84056866435482,154.92723206929077,231.67767237112255,607.1590348846299,533.3740766581293,780.4495365800865
129,533903654,文化体育館前周辺,372,375.0,134.8836113420657,173.44417060101244,241.63129456165257,311.6664596210102,208.7416843376657,337.12203388622873
13,533903972,住宅前周辺,623,370.0,426.88101779100356,400.35155138115704,541.1410615442934,532.217866828218,455.311235359809,605.9186874893019
130,533903173,引地橋周辺,419,275.0,120.94486231108303,147.26890143608549,261.49800302431663,477.0453408271802,411.3665777449156,578.5240027951972
131,523973952,高砂周辺,639,722.0,87.50938748203582,159.7460354011676,248.17464843973832,382.46170834850165,267.9927884223618,354.99406652249075
132,533903743,菖蒲沢周辺,86,53.999999999999986,235.1879642800739,127.35601275141255,202.02730323624982,821.9647868232088,694.4237578875395,747.7539744554521
133,523973993,県合同庁舎前周辺,89,200.0,268.4611976653172,182.92057296453766,272.112157072228,191.7848049010279,252.41437598813096,414.17930052919274
135,533903472,善行台周辺,843,618.0,113.32282013922428,160.1229900488859,276.9269971045811,276.9856780172477,270.0926122978945,435.4798281661865
136,533903942,宮下周辺,83,43.00000000000001,322.8857120300461,146.17012381027703,250.10294204967866,834.8397586641892,692.9716781513271,745.6223088448116
137,533903463,石川橋周辺,405,199.0,131.00946698693008,140.6780963771571,213.56241355464593,431.79148338199593,336.4618805118118,429.2410361853873
138,533903161,羽鳥山周辺,837,882.0000000000001,198.4336118746972,132.1085574391211,206.8021307137373,107.56572328855657,149.91170773483293,235.79059935823122
139,533903824,西用田周辺,162,109.0,139.97912162014714,112.25873141656551,188.64192437645818,631.5934797185503,480.30814971430135,561.2404890938989
14,533903671,天神町2号周辺,741,432.0,453.2822549919005,398.9506410477261,513.1538831252981,456.23310756097834,375.2009759146954,480.0182230788261
140,533903642,宝泉寺周辺,168,76.0,294.24010680410447,199.17399441080943,291.2300742557827,319.16612363092946,286.4341983517702,404.0739001542105
