mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
523973584,88.73748931213254,133.7635360888991,131.63375448764268,150.931444782644,45.02604677676655,1216.8306353789494,1095.1547628108758,1090.7036713926243,1118.7975242574037,-121.6758725680736,133.7635360888991,131.63375448764268,150.931444782644,1095.1547628108758,1090.7036713926243,1118.7975242574037,25,31.999999999999996,14.0,253,湘南港桟橋周辺
523973681,317.8256670520808,161.30245038357836,156.2100993102925,178.15512884268094,-156.52321666850244,952.205796623996,961.2578802469303,936.0481586795561,1055.3921960897987,9.052083622934333,161.30245038357833,156.2100993102925,178.15512884268094,961.2578802469302,936.0481586795561,1055.3921960897987,25,85.99999999999999,33.99999999999999,<NA>,江ノ島周辺
523973682,257.9568874562816,137.8290791385077,142.34701384863885,161.4079994936355,-120.12780831777391,778.2881728860181,989.7518293751511,999.4766874927749,1054.6820001099047,211.4636564891331,137.82907913850772,142.34701384863885,161.4079994936355,989.7518293751516,999.4766874927749,1054.6820001099047,75,135.0,50.00000000000001,<NA>,江ノ島周辺
523973684,131.60911246751334,109.01964674212483,122.52243112070674,122.52243112070674,-22.589465725388507,368.95138276980515,144.20834964765763,139.56775960250624,158.75446018918996,-224.74303312214752,109.01964674212483,122.52243112070674,122.52243112070674,144.20834964765766,139.56775960250624,158.75446018918996,9,375.99999999999994,85.0,188,江ノ島海岸周辺
523973774,167.48707256837494,96.81993405790332,95.29901150447925,164.87612901396346,-70.66713851047162,392.57908603599606,274.0861229883172,279.2301698456465,325.018339795719,-118.49296304767887,96.81993405790334,95.29901150447925,164.87612901396346,274.0861229883173,279.2301698456465,325.018339795719,79,352.99999999999994,113.00000000000001,142,公園西部駐車場前周辺
523973781,124.4094554517296,136.81177298719768,124.7777701889553,210.36787965163603,12.402317535468086,452.6254778735394,310.56768077894816,299.0316618481058,381.4970106037098,-142.05779709459125,136.81177298719768,124.7777701889553,210.36787965163603,310.5676807789481,299.0316618481058,381.4970106037098,163,911.0,139.0,156,西浜周辺
523973782,179.36785087116442,157.20597722658502,145.24820374582544,284.6325528181864,-22.1618736445794,134.56331624158034,153.9276591010637,158.44218851837468,253.86605039249386,19.364342859483372,157.20597722658502,145.24820374582544,284.6325528181864,153.92765910106368,158.44218851837468,253.86605039249386,508,2527.0,633.0,144,片瀬江ノ島周辺
523973783,255.60192905078944,231.95968666923258,231.90213640172095,333.8585115423075,-23.642242381556855,184.37338967875215,195.39338178442367,198.18429698822678,285.37510551742247,11.01999210567152,231.95968666923258,231.90213640172095,333.8585115423075,195.39338178442364,198.18429698822678,285.37510551742247,835,2501.0,549.0,98,小田急ショップ前周辺
523973784,117.41466836474684,129.71691983454204,125.73157811168632,226.48191002415524,12.302251469795195,54.757732114476184,123.85339589502036,121.47589235440047,194.88329597620427,69.09566378054417,129.716919834542,125.73157811168632,226.48191002415524,123.85339589502038,121.47589235440047,194.88329597620427,760,2327.0,645.0,234,湘南海岸公園周辺
523973791,127.37339086264791,112.43376006141341,118.4131223093954,152.19975948547705,-14.9396308012345,94.19648162650513,111.25152548512247,119.4567167473178,154.76651487191322,17.05504385861734,112.43376006141338,118.4131223093954,152.19975948547705,111.25152548512249,119.4567167473178,154.76651487191322,79,2441.0,825.0000000000001,<NA>,竜口寺周辺
523973793,99.375351244285,181.61756547057627,193.18528805901582,271.3659507497155,82.24221422629127,363.622548510863,266.8663513878241,265.20956995954356,387.40148121222876,-96.75619712303887,181.61756547057627,193.18528805901582,271.3659507497155,266.8663513878241,265.20956995954356,387.40148121222876,341,1237.0,337.0,162,目白山下周辺
523973794,322.3947396406908,49.57131055198344,43.734209342895944,78.2201685498321,-272.8234290887073,495.99250533852506,261.1081893774061,251.2399428968509,304.78292546363724,-234.88431596111894,49.571310551983444,43.734209342895944,78.2201685498321,261.1081893774061,251.2399428968509,304.78292546363724,16,2194.0,663.0,<NA>,目白山周辺
523973853,84.58643695241283,92.89669396220765,108.01511451276845,132.35762623655486,8.310257009794825,355.64627446586957,262.33965277283403,264.74149270867264,312.8196602519335,-93.30662169303554,92.89669396220762,108.01511451276845,132.35762623655486,262.339652772834,264.74149270867264,312.8196602519335,116,2048.0,641.9999999999999,155,辻堂西海岸周辺
523973854,63.50867188050245,115.10706247695731,127.88272022243618,180.11936428519306,51.59839059645486,413.4520459001422,322.7847394527069,314.1069170651542,454.96059019388224,-90.6673064474353,115.10706247695735,127.88272022243618,180.11936428519306,322.7847394527069,314.1069170651542,454.96059019388224,160,2541.0,847.0,159,交通公園前周辺
523973861,137.84231735052128,156.87672997250326,156.678935596147,220.26590930278527,19.03441262198197,392.1734539259955,218.90443025887458,191.96395075281703,301.818318434081,-173.2690236671209,156.87672997250326,156.678935596147,220.26590930278527,218.90443025887456,191.96395075281703,301.818318434081,88,586.0,84.0,181,辻堂海浜公園前周辺
523973862,133.53469117933864,201.4694144734923,207.9864008510967,286.15972710733456,67.93472329415366,267.3597578337018,255.64455491576777,245.17652978641885,447.12220358584705,-11.715202917934022,201.46941447349226,207.9864008510967,286.15972710733456,255.64455491576774,245.17652978641885,447.12220358584705,485,1603.0,367.0,147,湘洋中学校前周辺
523973863,150.83579887084977,141.23680592334335,131.00863438856916,278.8617752888865,-9.598992947506417,100.41403635353143,167.40715386355197,144.59353047661367,298.64814658376105,66.99311751002054,141.23680592334335,131.00863438856916,278.8617752888865,167.40715386355203,144.59353047661367,298.64814658376105,517,3426.0,763.0000000000001,179,辻堂東海岸周辺
523973864,508.9657461388165,377.45062100132026,378.7199267164494,488.5885266893362,-131.51512513749623,233.6086700940001,212.89987877016443,193.20013063340787,374.67795015921354,-20.70879132383567,377.45062100132026,378.7199267164494,488.5885266893362,212.89987877016446,193.20013063340787,374.67795015921354,1032,3215.0000000000005,683.0000000000001,22,鵠沼車庫前周辺
523973871,196.63830651640438,201.50178962415814,208.1755398276696,283.9094806339117,4.863483107753751,464.28876167000897,411.4156130415213,398.0992591488279,575.9923071854589,-52.873148628487684,201.50178962415816,208.1755398276696,283.9094806339117,411.4156130415213,398.0992591488279,575.9923071854589,616,2411.0,601.0,20,鵠沼プールガーデン周辺
523973872,229.87257238262978,197.44262373374264,192.94141464537879,306.94052071599265,-32.42994864888715,205.0873887273123,212.98200991862623,215.1963318733807,329.5801615988163,7.894621191313945,197.44262373374264,192.94141464537879,306.94052071599265,212.98200991862623,215.1963318733807,329.5801615988163,826,2754.0,627.0,84,鵠沼海岸周辺
523973873,154.0370837119835,160.77358564451836,162.97614682720635,236.46811853074277,6.73650193253485,447.7316818665659,405.6958623997718,420.458419386272,563.8268046706698,-42.03581946679412,160.7735856445184,162.97614682720635,236.46811853074277,405.6958623997717,420.458419386272,563.8268046706698,877,3222.0,823.0,34,鵠沼車庫前周辺
523973874,176.84705216206916,150.63154968897896,144.60177549623612,243.00445862908842,-26.215502473090197,92.72403315760269,144.41401022247584,131.38345412703967,256.25787134364094,51.68997706487315,150.63154968897896,144.60177549623612,243.00445862908842,144.41401022247587,131.38345412703967,256.25787134364094,919,2517.0,704.0,174,熊倉通り周辺
