hazard_type,rank_code,rank_label,road_edge_count,hazard_feature_count,feature_intersection_length_sum_m
flood,1,0.5m未満,7214,3085,101150.58451148041
flood,2,0.5m以上3.0m未満,15550,1686,491315.0741606956
flood,3,3.0m以上5.0m未満,5596,1204,132973.8586927771
flood,4,5.0m以上10.0m未満,1276,489,27496.42320020956
flood,5,10.0m以上20.0m未満,1,1,2.298241672694077
high_tide,1,0.01m以上0.3m未満,1667,413,27237.465544849518
high_tide,2,0.3m以上0.5m未満,1112,458,12751.254516905869
high_tide,3,0.5m以上1.0m未満,1434,232,24901.017100799956
high_tide,4,1.0m以上3.0m未満,745,180,11837.384520965445
inland_flood,1,0.3m以上0.5m未満,14183,10309,132131.8586450112
inland_flood,2,0.5m以上1.0m未満,8223,4399,96968.89790171146
inland_flood,3,1.0m以上3.0m未満,1873,947,23397.546098493076
inland_flood,4,3.0m以上5.0m未満,63,21,689.786061003499
inland_flood,5,5.0m以上10.0m未満,1,2,8.59969335222545
landslide,1,土砂災害警戒区域（指定済）,1558,383,31652.16310269378
landslide,2,土砂災害特別警戒区域（指定済）,458,196,7227.059349209523
tsunami,1,0.15m未満,387,161,3303.159985290288
tsunami,10,6.00m以上7.00m未満,265,87,3498.0748658236544
tsunami,11,7.00m以上8.00m未満,116,40,1731.7460628217252
tsunami,12,8.00m以上9.00m未満,30,16,504.36350744750996
tsunami,13,9.00m以上,27,10,1263.5669583520232
tsunami,2,0.15m以上0.50m未満,794,253,8491.393210346703
tsunami,3,0.50m以上0.80m未満,825,263,9055.931991452075
tsunami,4,0.80m以上1.20m未満,1124,221,14965.506652244807
tsunami,5,1.20m以上2.00m未満,1522,180,24072.59180008486
tsunami,6,2.00m以上3.00m未満,1788,151,32183.55686160733
tsunami,7,3.00m以上4.00m未満,1473,157,30802.115015968335
tsunami,8,4.00m以上5.00m未満,787,170,16358.70502460017
tsunami,9,5.00m以上6.00m未満,534,155,8791.246306882646
