candidate_id,longitude,latitude,candidate_x,candidate_y,landuse_labels,planning_labels,hazard_labels,landuse_feature_count,planning_feature_count,hazard_feature_count,hazard_overlap,hazard_review_status,siting_feasibility
mesh-533913073,139.465625,35.42291666666668,-33390.53244728895,-63961.00444521385,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,下水道 | 工業地域 | 市街化区域 | 都市計画区域,,1,4,0,False,no_overlap_in_source_layers,not_determined
mesh-533903351,139.440625,35.360416666666666,-35688.245801153666,-70885.86863417852,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,下水道 | 土地区画整理事業 | 市街化区域 | 第1種低層住居専用地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,5,1,True,additional_confirmation_required,not_determined
mesh-533913064,139.45937499999997,35.42291666666668,-33958.07955397934,-63958.87533617995,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,市街化調整区域 | 田園住居地域 | 都市計画区域,flood: 0.5m以上3.0m未満,1,3,1,True,additional_confirmation_required,not_determined
mesh-533903961,139.453125,35.41041666666668,-34530.95968485755,-65343.4345770192,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,下水道 | 市街化区域 | 第1種低層住居専用地域 | 都市計画区域,flood: 0.5m以上3.0m未満 | flood: 0.5m未満,1,4,2,True,additional_confirmation_required,not_determined
mesh-523973994,139.496875,35.33125000000001,-30587.37259599183,-74140.34014894553,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,下水道 | 市街化区域 | 準防火地域 | 第1種住居地域 | 都市計画区域,flood: 0.5m以上3.0m未満 | landslide: 土砂災害警戒区域（指定済）,1,5,2,True,additional_confirmation_required,not_determined
mesh-533913074,139.471875,35.42291666666668,-32822.985472136446,-63963.097668916555,田（水田）,市街化調整区域 | 田園住居地域 | 都市計画区域,flood: 0.5m以上3.0m未満,1,3,2,True,additional_confirmation_required,not_determined
mesh-533903873,139.465625,35.406250000000014,-33397.408833459194,-65809.96858361688,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,下水道 | 市街化区域 | 第1種低層住居専用地域 | 都市計画区域,,1,4,0,False,no_overlap_in_source_layers,not_determined
mesh-533903682,139.484375,35.38541666666667,-31702.571032460633,-68127.33578849616,田（水田）,市街化調整区域 | 田園住居地域 | 都市計画区域,flood: 3.0m以上5.0m未満 | flood: 5.0m以上10.0m未満 | inland_flood: 1.0m以上3.0m未満,1,3,3,True,additional_confirmation_required,not_determined
mesh-523973972,139.471875,35.327083333333334,-32861.81457965605,-74594.56950100246,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,下水道 | 市街化区域 | 第1種低層住居専用地域 | 都市計画区域 | 風致地区,,1,5,0,False,no_overlap_in_source_layers,not_determined
mesh-533903271,139.465625,35.35208333333334,-33419.737524759395,-71819.06687767537,公益施設用地（官公庁施設、文教厚生施設、供給処理施設）,下水道 | 市街化区域 | 準防火地域 | 第1種中高層住居専用地域 | 都市計画区域,,1,5,0,False,no_overlap_in_source_layers,not_determined
