rank,mesh_code,centroid_lat,centroid_lon,population,elderly_population,elderly_ratio,nearest_station_distance_m,nearest_bus_stop_distance_m,nearest_public_transport_distance_m,nearest_medical_distance_m,exploratory_score_c,pareto_frontier,suppression_flag,maizuru_area_fraction,centroid_within_maizuru,reported_elderly_population,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_bus_stop_name,nearest_public_transport_type,nearest_public_transport_name,nearest_medical_name,nearest_hospital_name,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible
1,533512753,35.48125,135.315625,91,56.0,0.6153846153846154,2868.182441818349,2321.6556089062638,2321.6556089062638,3316.8502371714594,0.4981350499468745,True,False,0.9252786886166328,True,56.0,0,,,unaffected,False,False,True,東雲駅,二尾,bus_stop,二尾,隅山医院,舞鶴赤十字病院,4493.440047277211,隅山医院,3316.8502371714594,0.6293706293706294,0.8863636363636364,0.9090909090909091,0.8706293706293706,0.5721551176096631,0.5479485549415619,3,5,1,True,True,True
2,533522274,35.522916666666674,135.346875,58,27.0,0.46551724137931033,5155.954764566428,3898.3555479908027,3898.3555479908027,3875.3320532675343,0.4624244068562861,True,False,0.9095638705233795,True,27.0,0,,,unaffected,False,False,True,丹後神崎駅,赤野,bus_stop,赤野,国土交通省共済組合海上保安学校診療所,医療法人医誠会　東舞鶴医誠会病院,5288.41726545676,国土交通省共済組合海上保安学校診療所,3875.3320532675343,0.5157342657342657,0.6608391608391608,0.9825174825174825,0.9125874125874126,0.5067179324172331,0.4706525991491026,13,18,2,True,True,True
3,533512132,35.42708333333334,135.296875,91,43.0,0.4725274725274725,2188.3597823318564,2034.4406233132956,2034.4406233132956,2755.8571381536417,0.4279991122379503,False,False,1.0,True,43.0,0,,,unaffected,False,False,True,四所駅,上福井,bus_stop,上福井,医療法人荒木クリニック,舞鶴赤十字病院,4151.64607693823,医療法人荒木クリニック,2755.8571381536417,0.6013986013986014,0.6678321678321678,0.8811188811188811,0.8076923076923077,0.5299036627707956,0.4857450242065626,8,15,3,True,True,True
4,533502982,35.41041666666668,135.359375,134,101.0,0.753731343283582,3062.1471550244173,3036.0128312650872,3036.0128312650872,1455.2998050380395,0.41972148346543187,True,False,1.0,True,101.0,0,,,unaffected,False,False,True,真倉駅,京田,bus_stop,京田,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,市立舞鶴市民病院,4212.242291392144,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,1455.2998050380395,0.7307692307692307,0.965034965034965,0.9440559440559441,0.6083916083916084,0.6898870360408822,0.44459386767079073,1,24,4,True,True,True
5,533512144,35.431250000000006,135.309375,238,105.0,0.4411764705882353,2245.92173377601,1705.6630165732704,1705.6630165732704,1698.696764706336,0.4149432649603807,True,False,1.0,True,105.0,0,,,unaffected,False,False,True,西舞鶴駅,中筋小学校口,bus_stop,中筋小学校口,医療法人荒木クリニック,舞鶴赤十字病院,2935.8181980973845,医療法人荒木クリニック,1698.696764706336,0.7482517482517482,0.6083916083916084,0.8391608391608392,0.6608391608391608,0.627903564966502,0.4944740574111203,2,13,5,True,True,True
6,533512134,35.431250000000006,135.296875,87,49.0,0.5632183908045977,1746.4693729778996,1572.7868203833443,1572.7868203833443,2802.1825252561243,0.4148372533134624,False,False,1.0,True,49.0,0,,,unaffected,False,False,True,四所駅,上福井,bus_stop,上福井,医療法人荒木クリニック,舞鶴赤十字病院,3953.9681313852543,医療法人荒木クリニック,2802.1825252561243,0.6223776223776224,0.8251748251748252,0.8111888111888111,0.8216783216783217,0.5048657636070223,0.5113942002053891,14,11,6,True,True,True
7,533513551,35.460416666666674,135.440625,75,32.0,0.4266666666666667,2967.707837138069,2003.4531987291318,2003.4531987291318,2724.336391902835,0.39312538407848696,False,False,1.0000000000000002,True,32.0,0,,,unaffected,False,False,True,松尾寺駅,堂の奥,bus_stop,堂の奥,特別養護老人ホームグリーンプラザ博愛苑医務室,京都府立舞鶴こども療育センター,3453.5216544259165,特別養護老人ホームグリーンプラザ博愛苑医務室,2724.336391902835,0.5594405594405595,0.5681818181818182,0.8776223776223776,0.8006993006993007,0.4909775539146169,0.4479436647268816,19,22,7,True,True,True
8,533522094,35.50625000000001,135.371875,62,34.0,0.5483870967741935,4667.940082176108,1951.2934557905219,1951.2934557905219,2540.782700682857,0.38224946541062244,False,False,0.668826389093474,True,34.0,0,,,unaffected,False,False,True,東舞鶴駅,平,bus_stop,平,医療法人医誠会　東舞鶴医誠会病院,医療法人医誠会　東舞鶴医誠会病院,2540.782700682857,国土交通省共済組合海上保安学校診療所,2645.533640236885,0.5681818181818182,0.8041958041958042,0.8706293706293706,0.7727272727272727,0.4946757787666879,0.4390495867768595,16,25,8,True,True,True
9,533512931,35.493750000000006,135.29062499999998,50,26.0,0.52,1445.144076140371,4868.787552390223,1445.144076140371,5131.283318861712,0.376302019658663,True,False,0.9999999999999999,True,26.0,0,,,unaffected,False,False,True,丹後神崎駅,二尾,station,丹後神崎駅,市立舞鶴市民病院加佐診療所,舞鶴赤十字病院,6881.440932808576,市立舞鶴市民病院加佐診療所,5131.283318861712,0.5,0.756993006993007,0.7972027972027972,0.9440559440559441,0.3986013986013986,0.47202797202797203,42,16,9,True,True,True
10,533502943,35.41458333333334,135.30312500000002,39,29.0,0.7435897435897436,2234.7022517557107,2233.571331621769,2233.571331621769,2565.255555909651,0.37360246299253097,False,False,1.0,True,29.0,0,,,unaffected,False,False,True,真倉駅,真倉駅前,bus_stop,真倉駅前,医療法人荒木クリニック,舞鶴赤十字病院,4558.184329896581,医療法人荒木クリニック,2565.255555909651,0.5332167832167832,0.9615384615384616,0.8986013986013986,0.7797202797202797,0.4791493471563402,0.4157599393613379,22,31,10,True,True,True
