mesh_code,network_transport_weighted_mean_distance_m,network_transport_weighted_median_distance_m,network_transport_weighted_p90_distance_m,network_medical_weighted_mean_distance_m,network_medical_weighted_median_distance_m,network_medical_weighted_p90_distance_m,transport_elderly_weight_coverage,medical_elderly_weight_coverage,network_reachable_buildings_transport,network_reachable_buildings_medical,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label,network_minus_building_euclidean_transport_m,network_minus_building_euclidean_medical_m,network_transport_detour_ratio,network_medical_detour_ratio,network_metric_status
533502754,741.0542948612285,721.9038955395933,809.8785419514024,2868.791957607991,2895.687306983587,2912.8904894430657,1.0,1.0,15,15,563.6928077576123,683.0275955144341,676.4201174277097,740.0766854567659,119.3347877568218,2512.9982753768727,2506.2596988586465,2526.872264354652,2547.1585887591064,-6.738576518226182,683.0275955144341,676.4201174277097,740.0766854567659,2506.2596988586465,2526.872264354652,2547.1585887591064,15,20.0,5.0,213,真倉周辺,58.02669934679443,362.5322587493447,1.0849551317221533,1.1446507155321701,available
533502852,951.4626890038812,969.9202305896434,1071.1183473352212,2554.929808916144,2555.892730654249,2761.916515827369,1.0,1.0,46,46,543.5481918283396,545.7112986034296,563.5384690629546,756.5027235626897,2.16310677509,2253.281975839628,2220.588936792767,2236.582693994361,2413.5794925961204,-32.69303904686058,545.7112986034297,563.5384690629546,756.5027235626897,2220.5889367927666,2236.582693994361,2413.5794925961204,46,56.99999999999999,29.0,46,真倉駅前周辺,405.75139040045167,334.3408721233768,1.7435275601565154,1.1505640537893838,available
533502854,804.1429854384444,808.9351652998976,911.5007551889796,2215.2707439376613,2220.062923799115,2322.6285136881966,1.0,1.0,23,23,320.60100605264955,188.33342496388772,187.52523520286385,214.45609502246137,-132.2675810887618,2065.6144151335866,1914.04858549045,1912.3605799139052,1937.478679673556,-151.56582964313657,188.33342496388784,187.52523520286385,214.45609502246137,1914.0485854904505,1912.3605799139052,1937.478679673556,23,44.99999999999999,25.000000000000004,98,真倉駅前周辺,615.8095604745566,301.2221584472113,4.269783685995388,1.15737435336315,available
533502863,1135.3691329112867,1384.6536461486892,1416.1213663923077,2059.967370982308,1955.0575657815252,2210.538374695936,1.0,1.0,8,8,216.93730570746249,159.4177756271842,140.56117489665476,203.7748687680117,-57.51953008027829,1536.633409137068,1757.9870932176127,1671.3092547758597,1884.8088322331955,221.3536840805448,159.41777562718423,140.56117489665476,203.7748687680117,1757.9870932176127,1671.3092547758597,1884.8088322331955,8,11.0,7.0,239,真倉駅周辺,975.9513572841024,301.9802777646951,7.121973245734345,1.171776163163966,available
533512061,490.8019920900794,474.25600423918,671.6370965344472,1052.0747910754071,1035.5288032245076,1232.9098955197749,1.0,1.0,76,76,454.92031393021045,379.5433607056933,364.1872680843833,577.7259667756462,-75.37695322451714,880.5804798111204,812.8388272556355,798.2290042690576,980.6217774955672,-67.74165255548496,379.5433607056932,364.1872680843833,577.7259667756462,812.8388272556351,798.2290042690576,980.6217774955672,76,100.00000000000004,39.99999999999999,104,京田周辺,111.25863138438609,239.23596381977165,1.2931381309832966,1.2943215257414526,available
533512062,575.7145238899825,630.868676223922,630.868676223922,1127.9375538420334,1192.1414752092494,1192.1414752092494,1.0,1.0,5,5,622.5335504488768,445.43334233664064,531.206010636845,531.206010636845,-177.10020811223615,1091.307173352972,927.9910188818928,1016.5489152460876,1016.5489152460876,-163.31615447107902,445.43334233664064,531.206010636845,531.206010636845,927.9910188818932,1016.5489152460876,1016.5489152460876,5,48.99999999999999,13.0,139,京田周辺,130.28118155334187,199.94653496014053,1.2924818803862252,1.2154617134129702,available
533512063,230.66818201453322,229.33163308274155,381.4131110989959,562.5292524787935,561.2638708220865,666.4170364255813,1.0,1.0,176,176,127.13268442538887,161.1657060832481,168.3798009176787,269.2684156117824,34.03302165785921,422.5556570871397,432.04974598300817,421.9714593658026,528.4677786178756,9.494088895868458,161.16570608324812,168.3798009176787,269.2684156117824,432.0497459830081,421.9714593658026,528.4677786178756,176,272.0,65.0,248,京田周辺,69.50247593128512,130.47950649578536,1.4312485430081787,1.3020011184103715,available
533512064,384.590278403212,381.15651830908143,436.8022423376963,785.8675447259332,774.6830214411344,894.6778006685248,1.0,1.0,93,93,443.5641006456482,261.53766877256555,262.5111503306249,324.0136174851453,-182.02643187308263,770.7540193434103,569.7319892248115,563.7751754727627,672.5381880473152,-201.0220301185988,261.53766877256555,262.5111503306249,324.0136174851453,569.7319892248117,563.7751754727627,672.5381880473152,93,294.99999999999994,82.99999999999999,112,京田周辺,123.05260963064643,216.13555550112164,1.4704966982696996,1.3793635596891793,available
533512152,757.4168813563352,754.7232781968787,909.7144178192189,617.6703667632736,654.3831754552302,760.5108349987039,1.0,1.0,357,357,584.490635976334,483.5310787718015,494.6871134148868,618.2763399045715,-100.95955720453252,487.6185352077382,406.1363527044344,417.5949551604866,536.2435635409455,-81.48218250330376,483.5310787718015,494.6871134148868,618.2763399045715,406.1363527044344,417.5949551604866,536.2435635409455,357,1065.0,205.0,123,城南中学校前周辺,273.88580258453374,211.5340140588392,1.566428539154547,1.5208448164027883,available
533512154,886.6029449681474,896.9374779189026,992.1856264929219,1039.040816672521,1030.742402364331,1232.3097622696998,1.0,1.0,242,242,571.1879544577747,528.1173571557306,523.983740950913,639.1443494823219,-43.07059730204412,704.0086845540078,665.3651079699499,641.0058865403445,815.1914443073352,-38.64357658405788,528.1173571557306,523.983740950913,639.1443494823219,665.3651079699498,641.0058865403445,815.1914443073352,242,554.0,143.0,83,中筋小学校口周辺,358.48558781241684,373.6757087025711,1.678799102046379,1.561610015653913,available
