plan_id,mode,site_count,affected_graph_node_count,improved_building_count,newly_network_connected_building_count,total_building_distance_reduction_m,mean_reduction_all_reachable_buildings_m,mean_reduction_improved_buildings_m,affected_estimated_elderly_population,elderly_weighted_distance_reduction_person_m,elderly_weighted_mean_reduction_m,worst_decile_mean_reduction_m,robust_top20_elderly_weighted_reduction_person_m,robust_top20_improved_mesh_count,improved_mesh_count,marginal_total_building_distance_reduction_m,marginal_affected_building_count,marginal_affected_estimated_elderly_population,marginal_worst_decile_mean_reduction_m,marginal_newly_network_connected_building_count,candidate_ids
network-overall-1,overall,1,348,1362,0,455256.298,16.006,334.256,635.589573,204861.106,10.385,97.047,0.0,0,5,455256.298,1362,635.589573,97.047,0,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d-0
network-overall-2,overall,2,514,2136,0,830350.477,29.193,388.741,1053.80962,403042.883,20.432,210.656,0.0,0,11,375094.179,774,418.220047,113.609,0,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d-0|tran_aa88195d-0720-456e-8ff1-8589a3f60d05-0
network-overall-3,overall,3,743,2911,0,1103540.923,38.798,379.093,1572.547518,587958.247,29.806,245.967,0.0,0,16,273190.446,775,518.737898,35.311,0,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d-0|tran_aa88195d-0720-456e-8ff1-8589a3f60d05-0|tran_d1ce31ad-058f-45b0-abed-11324ea7961c-0
network-overall-4,overall,4,801,3177,0,1348172.359,47.399,424.354,1707.384496,722983.978,36.651,331.954,0.0,0,23,244631.436,266,134.836978,85.987,0,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d-0|tran_aa88195d-0720-456e-8ff1-8589a3f60d05-0|tran_d1ce31ad-058f-45b0-abed-11324ea7961c-0|tran_24cf2c9d-b715-4f24-92e1-31a1deefbdf9-0
network-overall-5,overall,5,871,3614,0,1511126.535,53.128,418.131,2046.558696,847406.496,42.959,349.743,0.0,0,27,162954.176,437,339.1742,17.789,0,tran_9d171b5f-9b32-4cdc-aa2d-460602a5c71d-0|tran_aa88195d-0720-456e-8ff1-8589a3f60d05-0|tran_d1ce31ad-058f-45b0-abed-11324ea7961c-0|tran_24cf2c9d-b715-4f24-92e1-31a1deefbdf9-0|tran_c8ff283f-d366-432a-84ad-a871625afb7c-0
network-elderly-1,elderly,1,345,1348,0,453335.087,15.938,336.302,628.304107,204874.267,10.386,96.943,0.0,0,5,453335.087,1348,628.304107,96.943,0,tran_4125c5ae-afc2-4f97-a822-94fbfd4481d7-0
network-elderly-2,elderly,2,559,2299,0,783670.767,27.552,340.875,1318.995869,408325.459,20.7,175.751,0.0,0,13,330335.68,951,690.691762,78.808,0,tran_4125c5ae-afc2-4f97-a822-94fbfd4481d7-0|tran_8138556d-e516-48d3-9545-0410e784fcb2-0
network-elderly-3,elderly,3,782,3059,0,1055851.455,37.122,345.162,1828.459229,593802.023,30.103,211.898,0.0,0,18,272180.688,760,509.46336,36.147,0,tran_4125c5ae-afc2-4f97-a822-94fbfd4481d7-0|tran_8138556d-e516-48d3-9545-0410e784fcb2-0|tran_fd15501a-b5e0-4253-96cd-3faa2bc9875f-0
network-elderly-4,elderly,4,840,3325,0,1300482.891,45.722,391.123,1963.296208,728827.754,36.948,297.885,0.0,0,25,244631.436,266,134.836979,85.987,0,tran_4125c5ae-afc2-4f97-a822-94fbfd4481d7-0|tran_8138556d-e516-48d3-9545-0410e784fcb2-0|tran_fd15501a-b5e0-4253-96cd-3faa2bc9875f-0|tran_24cf2c9d-b715-4f24-92e1-31a1deefbdf9-0
network-elderly-5,elderly,5,910,3762,0,1463437.067,51.452,389.005,2302.470407,853250.271,43.255,315.673,0.0,0,29,162954.176,437,339.174199,17.788,0,tran_4125c5ae-afc2-4f97-a822-94fbfd4481d7-0|tran_8138556d-e516-48d3-9545-0410e784fcb2-0|tran_fd15501a-b5e0-4253-96cd-3faa2bc9875f-0|tran_24cf2c9d-b715-4f24-92e1-31a1deefbdf9-0|tran_c8ff283f-d366-432a-84ad-a871625afb7c-0
