citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
101,533512334,上福井周辺,74,30.0,293.6439376364264,215.69517754393453,382.8889533402881,1896.2243582860187,1882.7846332247077,2114.5277216264935
102,533512581,五老トンネル西口周辺,75,68.00000000000003,391.564166873634,297.07809338539954,462.99036416942914,930.2425990980211,750.6856360387291,853.815692530892
103,533513602,市役所前周辺,176,109.0,610.315184455642,507.71877212342343,667.5435948555889,635.371714458563,620.4742019592038,880.0270471878231
104,533512061,京田周辺,76,39.99999999999999,454.92031393021045,379.5433607056933,577.7259667756462,880.5804798111204,812.8388272556355,980.6217774955671
108,533512561,東吉原周辺,169,104.0,311.8748319816084,236.98039649678043,343.07989568156825,957.9785692244318,964.0143620446038,1141.8195871226733
109,533513944,朝来中周辺,163,83.0,361.84623533522074,257.10230962632096,405.16939668205134,861.4820947975419,966.8039875390759,1139.162711991411
112,533512064,京田周辺,93,82.99999999999999,443.5641006456482,261.53766877256555,324.0136174851453,770.7540193434103,569.7319892248115,672.5381880473152
113,533513522,溝尻周辺,132,106.0,543.0450586233042,623.4204687799368,745.1856185378878,640.485914656108,439.3771047536268,528.1962111538138
115,533523041,中宮周辺,238,148.00000000000003,201.18092358450718,171.40375044602956,304.0309224983039,1557.7399594126932,1458.3962992092643,1563.9221912211458
116,533512332,上福井周辺,109,88.99999999999999,204.99631716078486,145.86436618543976,194.31698477558044,2022.0015190659756,2103.811480596682,2214.1854525646286
117,533512551,合同庁舎前周辺,43,12.999999999999998,1143.3089616982988,1250.303500199381,1303.1283822211708,1098.280423972322,1231.1654427860499,1317.5418259569758
118,533513412,上地橋周辺,527,289.99999999999994,226.65812828068368,240.30502627200366,344.273768172798,1017.9252595901263,1032.5761561118711,1248.4975709411622
119,533512444,下福井周辺,70,15.0,835.6845590971143,915.6064152688908,1033.0527923801512,965.1014324802917,1135.7357378442878,1222.3891665964977
122,533513722,市場周辺,159,118.0,515.568288923447,448.3121105003055,508.5874935346099,627.876080750062,538.3705038816281,620.6767769093299
123,533512152,城南中学校前周辺,357,205.0,584.490635976334,483.5310787718015,618.2763399045715,487.6185352077382,406.13635270443444,536.2435635409455
124,533523042,朝来中周辺,82,25.000000000000004,334.4657665520449,249.8141569246962,362.82411812045007,1291.6152811441746,1394.2712605635347,1494.9715056126706
125,533513413,丸山口周辺,358,236.0,565.7589538983921,466.0205145191739,564.2613958291342,482.5258150977189,422.84571369253285,540.4488845726113
126,533512262,西高前周辺,514,221.0,644.0610364271614,563.1350659385514,787.092237390897,409.4994473361805,398.3346424365824,593.7347245344431
127,533512553,二尾周辺,11,9.0,1306.4595930769244,1321.767776803873,1344.593546490221,1556.6224480496833,1356.7675891703745,1377.4470054887552
128,533512774,加津良周辺,50,25.0,419.1914856808429,259.80140389919535,365.02055038861903,943.1379879323548,878.1577410813891,970.6274429465252
131,533513603,三宅団地前周辺,123,215.00000000000003,352.0548083880494,302.4763307508154,487.9190510723354,638.2544597796258,779.254853852129,830.0609769362517
132,533513624,中町周辺,43,28.0,585.8789224992578,593.298538818544,648.2533532322321,666.4617111394427,634.908589743655,692.4154439109822
133,533513622,梅ヶ谷口周辺,457,330.0,273.22389285317445,241.7952097061436,432.550431085754,712.0910697651327,635.4071030878564,761.8464239558871
135,533512352,千日前周辺,155,77.0,624.0944360921821,399.51463989554065,464.1054473562008,497.137808133289,282.30579783156423,371.26968509120746
137,533512344,福井小学校口周辺,188,131.0,278.6765336226648,188.59670569058218,282.64852244706327,796.6430113411278,760.1960505388181,1007.2411502797395
139,533512062,京田周辺,5,13.0,622.5335504488768,445.43334233664064,531.206010636845,1091.3071733529719,927.9910188818928,1016.5489152460875
140,533523031,大波上周辺,52,31.000000000000004,227.60145447164106,152.7871874412234,298.8007169142726,1465.464111208557,1531.5293032602247,1713.210134907695
142,533513751,鹿原周辺,27,12.000000000000002,457.9102552391184,376.44006041458886,450.55347794688834,1429.751240862773,1306.4604206736863,1382.6564789900826
143,533512594,舞鶴市リサイクルプラザ前周辺,27,14.0,725.6273654718804,563.7600538355554,632.6939831871484,849.6460459260143,639.8499630165178,725.0750509339168
144,533513533,堂の奥周辺,69,21.999999999999996,314.79290907585516,181.4299188387149,303.5802637275919,1191.980853639388,1086.8273408486473,1222.0364137702918
145,533513504,白鳥団地前周辺,22,19.0,510.5454180468817,399.45174421081157,433.65929943978745,840.2466643420112,581.8630280463613,645.4300671393078
146,533512692,上四丁目周辺,42,24.000000000000004,664.3777972596554,509.0095098039972,564.509727019059,633.6639040263276,537.9809992909305,582.4968098745574
148,533512331,四所駅周辺,6,15.0,262.84504692420705,211.4835327823966,225.14899447644322,2556.3479828136865,2255.672082538995,2266.650434296403
149,533513723,市場周辺,185,165.0,473.02987353489937,363.8543195464865,491.6500068060097,427.9833556101608,354.67098520214176,508.7246518958683
150,533512684,上四丁目周辺,35,24.000000000000004,644.1455499838265,565.0711593641388,757.9805517438166,617.947061143473,627.4234743938605,835.0311136904454
154,533512683,和田周辺,21,10.000000000000002,601.7824126283984,358.65488800665065,687.0507912348543,1133.0317676139662,1264.2385284139802,1351.6631038803475
158,533512372,福来西周辺,255,127.0,262.7081776272447,214.22065715504868,324.276626489274,653.2793652516577,680.8189213550855,856.2342465176825
159,533512261,西高前周辺,430,292.0,357.43647138685685,310.84323648460366,396.67292095471487,409.3611939412069,380.7567043836194,597.1911257843976
160,533512782,下四丁目周辺,238,131.0,373.58713289576485,289.71408337011235,477.53966989058375,474.4616453481453,430.4675862125269,608.7552383919739
162,533512682,道芝口周辺,44,34.000000000000014,473.85612468306607,312.0198846741359,408.12195323435174,524.2617694726932,323.66514754014116,370.47980223767894
163,533513743,小倉周辺,219,104.0,165.63974742330063,252.65721208299217,439.6236138441741,1226.7826813852112,1165.8366527412377,1237.7529902751933
