mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533502754,563.6928077576123,683.0275955144341,676.4201174277097,740.0766854567659,119.33478775682181,2512.9982753768727,2506.2596988586465,2526.872264354652,2547.1585887591064,-6.738576518226182,683.0275955144341,676.4201174277097,740.0766854567659,2506.2596988586465,2526.872264354652,2547.1585887591064,15,20.0,5.0,213,真倉周辺
533502852,543.5481918283396,545.7112986034296,563.5384690629546,756.5027235626897,2.16310677509,2253.2819758396276,2220.588936792767,2236.582693994361,2413.5794925961204,-32.69303904686058,545.7112986034297,563.5384690629546,756.5027235626897,2220.5889367927666,2236.582693994361,2413.5794925961204,46,56.99999999999999,28.999999999999996,46,真倉駅前周辺
533502854,320.60100605264955,188.33342496388775,187.52523520286385,214.45609502246137,-132.2675810887618,2065.6144151335866,1914.04858549045,1912.3605799139054,1937.4786796735557,-151.56582964313657,188.33342496388784,187.52523520286385,214.45609502246137,1914.0485854904503,1912.3605799139054,1937.4786796735557,23,44.99999999999999,25.000000000000004,98,真倉駅前周辺
533502863,216.93730570746249,159.4177756271842,140.56117489665476,203.7748687680117,-57.51953008027829,1536.633409137068,1757.9870932176127,1671.3092547758597,1884.8088322331953,221.35368408054478,159.41777562718423,140.56117489665476,203.7748687680117,1757.9870932176127,1671.3092547758597,1884.8088322331953,8,11.0,7.0,239,真倉駅周辺
533512061,454.92031393021045,379.5433607056933,364.18726808438333,577.7259667756462,-75.37695322451714,880.5804798111204,812.8388272556355,798.2290042690576,980.6217774955671,-67.74165255548496,379.54336070569315,364.18726808438333,577.7259667756462,812.8388272556351,798.2290042690576,980.6217774955671,76,100.00000000000003,39.99999999999999,104,京田周辺
533512062,622.5335504488768,445.43334233664064,531.206010636845,531.206010636845,-177.10020811223615,1091.3071733529719,927.9910188818928,1016.5489152460875,1016.5489152460875,-163.31615447107902,445.43334233664064,531.206010636845,531.206010636845,927.9910188818932,1016.5489152460875,1016.5489152460875,5,48.99999999999999,13.0,139,京田周辺
533512063,127.13268442538889,161.1657060832481,168.3798009176787,269.26841561178236,34.03302165785921,422.5556570871397,432.04974598300817,421.9714593658026,528.4677786178756,9.494088895868458,161.16570608324812,168.3798009176787,269.26841561178236,432.0497459830081,421.9714593658026,528.4677786178756,176,272.0,65.0,248,京田周辺
533512064,443.5641006456482,261.53766877256555,262.5111503306249,324.0136174851453,-182.02643187308263,770.7540193434103,569.7319892248115,563.7751754727627,672.5381880473152,-201.02203011859876,261.53766877256555,262.5111503306249,324.0136174851453,569.7319892248117,563.7751754727627,672.5381880473152,93,294.99999999999994,82.99999999999999,112,京田周辺
533512152,584.490635976334,483.5310787718015,494.68711341488677,618.2763399045715,-100.95955720453253,487.6185352077382,406.13635270443444,417.5949551604866,536.2435635409455,-81.48218250330376,483.5310787718015,494.68711341488677,618.2763399045715,406.1363527044344,417.5949551604866,536.2435635409455,357,1065.0,205.0,123,城南中学校前周辺
533512154,571.1879544577747,528.1173571557306,523.983740950913,639.1443494823219,-43.07059730204412,704.0086845540078,665.3651079699499,641.0058865403445,815.1914443073352,-38.64357658405788,528.1173571557306,523.983740950913,639.1443494823219,665.3651079699498,641.0058865403445,815.1914443073352,242,554.0,143.0,83,中筋小学校口周辺
533512161,32.359472213734264,226.37082632096505,225.86273698941628,292.57618192982676,194.01135410723077,95.14447060254072,244.6480688920105,252.64746260984452,365.288337719162,149.50359828946978,226.37082632096505,225.86273698941628,292.57618192982676,244.6480688920105,252.64746260984452,365.288337719162,416,887.0,214.0,285,城南中学校前周辺
533512162,551.9657691035717,405.60310402234865,410.86555698083544,487.0965289543697,-146.36266508122304,651.567103141086,505.60449073622345,514.7684859269166,590.6615464513173,-145.96261240486257,405.6031040223487,410.86555698083544,487.0965289543697,505.60449073622334,514.7684859269166,590.6615464513173,284,686.0,143.0,96,城南中学校前周辺
533512163,30.75212570229139,191.13811439123015,194.67164155978335,273.7204500623691,160.38598868893877,516.6434191856881,573.1571396129742,606.5804141396289,665.6407118558952,56.5137204272861,191.13811439123015,194.67164155978335,273.7204500623691,573.1571396129743,606.5804141396289,665.6407118558952,390,683.0,181.0,276,中筋小学校口周辺
533512164,565.4824337511279,509.00091248399684,491.5260325765656,703.760019776822,-56.481521267131086,808.8707244193123,686.5466497269721,682.3093441742037,819.2746564207081,-122.32407469234022,509.0009124839968,491.5260325765656,703.760019776822,686.5466497269721,682.3093441742037,819.2746564207081,584,1401.0,225.0,53,中筋小学校口周辺
533512252,696.2413471410347,495.08754921893745,496.8049218577815,612.5483455097543,-201.15379792209723,758.7913678813773,668.6636214225483,789.1193171125245,846.6787490535661,-90.12774645882894,495.08754921893734,496.8049218577815,612.5483455097543,668.6636214225483,789.1193171125245,846.6787490535661,133,309.0,156.0,56,西高前周辺
533512254,607.6107067474304,452.6495264436269,446.84725969822404,562.757020121339,-154.96118030380353,621.9713886276198,453.0842685492417,433.67569008070706,569.4775382336898,-168.88712007837813,452.64952644362677,446.84725969822404,562.757020121339,453.0842685492417,433.67569008070706,569.4775382336898,309,485.00000000000006,163.0,97,西高前周辺
533512261,357.43647138685685,310.84323648460366,319.183536083782,396.67292095471487,-46.59323490225319,409.3611939412069,380.7567043836194,395.286820774606,597.1911257843976,-28.6044895575875,310.84323648460366,319.183536083782,396.67292095471487,380.75670438361936,395.286820774606,597.1911257843976,430,1230.0,292.0,159,西高前周辺
533512262,644.0610364271614,563.1350659385514,525.0171933074038,787.092237390897,-80.92597048861,409.4994473361805,398.3346424365824,394.6190798262721,593.7347245344431,-11.164804899598096,563.1350659385515,525.0171933074038,787.092237390897,398.3346424365824,394.6190798262721,593.7347245344431,514,1129.0,221.0,126,西高前周辺
