hazard_type,rank_code,rank_label,road_edge_count,hazard_feature_count,feature_intersection_length_sum_m
flood,1,0.5m未満,5654,67,105366.68240422718
flood,2,0.5m以上1.0m未満,7716,64,157497.45833640252
flood,3,1.0m以上2.0m未満,7704,57,190187.76005490334
flood,4,2.0m以上3.0m未満,2640,31,55960.98580900287
flood,5,3.0m以上5.0m未満,426,17,5239.174055721117
flood,6,5.0m以上,17,4,282.7314580203758
landslide,1,土砂災害警戒区域（指定済）,7331,772,295621.4158126605
landslide,2,土砂災害特別警戒区域（指定済）,1233,314,23020.770961196547
tsunami,1,0.3m未満,576,3,10548.087753247017
tsunami,2,0.3m以上1.0m未満,298,3,6361.15502221104
tsunami,3,1.0m以上2.0m未満,12,2,152.4294293484326
