candidate_id,longitude,latitude,candidate_x,candidate_y,landuse_labels,planning_labels,hazard_labels,landuse_feature_count,planning_feature_count,hazard_feature_count,hazard_overlap,hazard_review_status,siting_feasibility
tran_25061d63-5f2e-4e6d-8e89-99cc39589a2b-0,135.32071397838914,35.399024564220085,-61702.55074503835,-66461.7440096051,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,1,True,additional_confirmation_required,not_determined
tran_a1ccab06-42ac-4161-826f-c7444ab49c83-0,135.3209959747258,35.39951636202181,-61676.56081131988,-66407.3601487813,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,1,True,additional_confirmation_required,not_determined
tran_c9508f5c-dd7f-4275-9c01-8e016d881eb0-0,135.32082197165215,35.39912832626568,-61692.66204031122,-66450.30007857726,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化調整区域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,2,1,True,additional_confirmation_required,not_determined
tran_d7e60f72-3444-4b7e-b4da-078fcaa98f59-0,135.3208995597895,35.39924437044125,-61685.525872706094,-66437.47460177835,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,1,True,additional_confirmation_required,not_determined
tran_4fe7c082-3698-4e31-b8b3-6123d5b8dac9-0,135.32102235356143,35.399786716409864,-61673.95878155103,-66377.38364445994,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,1,True,additional_confirmation_required,not_determined
tran_c83d5ca0-e0ea-420a-ac66-6f06c3c09aa8-0,135.3204019165598,35.398803490922276,-61731.06566028506,-66486.07501954216,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害特別警戒区域（指定済） | landslide: 土砂災害警戒区域（指定済）,1,3,2,True,additional_confirmation_required,not_determined
tran_f07c1827-ef66-4612-9ec4-0adbe38d5646-0,135.32112632851852,35.3997791707837,-61664.51996493631,-66378.28558367077,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害特別警戒区域（指定済） | landslide: 土砂災害警戒区域（指定済）,1,3,2,True,additional_confirmation_required,not_determined
tran_92ecc273-8fce-4294-ac74-62c5faad0278-0,135.3205120948407,35.3991709693919,-61720.77742107777,-66445.37594271218,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,1,True,additional_confirmation_required,not_determined
tran_21cd6e41-ad98-4017-8141-d0c10809434d-0,135.3198656330087,35.398526988132375,-61779.99049430312,-66516.41522052736,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化調整区域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,2,2,True,additional_confirmation_required,not_determined
tran_aa10c390-3c2f-41c7-8f44-5f80d4a084f3-0,135.32022473928464,35.39967409833616,-61746.49592595403,-66389.3797568676,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 道路 | 都市計画区域,,1,4,0,False,no_overlap_in_source_layers,not_determined
tran_530f418d-70fd-4c79-8f58-22f69b43f248-0,135.31988477735504,35.398612450134195,-61778.18629603994,-66506.94607620533,道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,市街化区域 | 準工業地域 | 道路 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,4,1,True,additional_confirmation_required,not_determined
tran_d804dbcc-f0e3-4716-b6db-854e2c9386b8-0,135.32167468255187,35.4011491281246,-61613.667864367155,-66226.64507626294,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,1,True,additional_confirmation_required,not_determined
tran_27538526-9e65-4185-a519-8c1274e2ec3d-0,135.32277048045887,35.40194450540973,-61513.52854825676,-66139.08850280181,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,市街化区域 | 準工業地域 | 都市計画区域,landslide: 土砂災害警戒区域（指定済）,1,3,2,True,additional_confirmation_required,not_determined
